Class	Field	Type	Description
ExcelScript.PivotLayout	getEnableFieldList()	Method	Specifies if the field list can be shown in the UI.
ExcelScript.PivotLayout	getFilterAxisRange()	Method	Returns the range of the PivotTable's filter area.
ExcelScript.PivotLayout	getLayoutType()	Method	This property indicates the PivotLayoutType of all fields on the PivotTable.
ExcelScript.PivotLayout	getPreserveFormatting()	Method	Specifies if formatting is preserved when the report is refreshed or recalculated by operations such as pivoting  sorting  or changing page field items.
ExcelScript.PivotLayout	getRange()	Method	Returns the range the PivotTable exists on  excluding the filter area.
ExcelScript.PivotLayout	getRowLabelRange()	Method	Returns the range where the PivotTable's row labels reside.
ExcelScript.PivotLayout	getShowColumnGrandTotals()	Method	Specifies if the PivotTable report shows grand totals for columns.
ExcelScript.PivotLayout	getShowRowGrandTotals()	Method	Specifies if the PivotTable report shows grand totals for rows.
ExcelScript.PivotLayout	getSubtotalLocation()	Method	This property indicates the `SubtotalLocationType` of all fields on the PivotTable.
ExcelScript.PivotLayout	setAutoFormat(autoFormat)	Method	Specifies if formatting will be automatically formatted when it’s refreshed or when fields are moved.
ExcelScript.PivotLayout	setAutoSortOnCell(cell	Method	Sets the PivotTable to automatically sort using the specified cell to automatically select all necessary criteria and context.
ExcelScript.PivotLayout	setEnableFieldList(enableFieldList)	Method	Specifies if the field list can be shown in the UI.
ExcelScript.PivotLayout	setLayoutType(layoutType)	Method	This property indicates the PivotLayoutType of all fields on the PivotTable.
ExcelScript.PivotLayout	setPreserveFormatting(preserveFormatting)	Method	Specifies if formatting is preserved when the report is refreshed or recalculated by operations such as pivoting  sorting  or changing page field items.
ExcelScript.PivotLayout	setShowColumnGrandTotals(showColumnGrandTotals)	Method	Specifies if the PivotTable report shows grand totals for columns.
ExcelScript.PivotLayout	setShowRowGrandTotals(showRowGrandTotals)	Method	Specifies if the PivotTable report shows grand totals for rows.
ExcelScript.PivotLayout	setSubtotalLocation(subtotalLocation)	Method	This property indicates the `SubtotalLocationType` of all fields on the PivotTable.
ExcelScript.PivotLayoutType		Class	
ExcelScript.PivotLayoutType	compact	EnumField	A horizontally compressed form with labels from the next field in the same column.
ExcelScript.PivotLayoutType	outline	EnumField	Inner fields' items are on same row as outer fields' items and subtotals are always on the bottom.
ExcelScript.PivotLayoutType	tabular	EnumField	Inner fields' items are always on a new line relative to the outer fields' items.
ExcelScript.PivotManualFilter		Class	Configurable template for a manual filter to apply to a PivotField.
ExcelScript.PivotManualFilter	selectedItems	Property	A list of selected items to manually filter.
ExcelScript.PivotTable		Class	Represents an Excel PivotTable.
ExcelScript.PivotTable	addColumnHierarchy(pivotHierarchy)	Method	Adds the PivotHierarchy to the current axis.
ExcelScript.PivotTable	addDataHierarchy(pivotHierarchy)	Method	Adds the PivotHierarchy to the current axis.
ExcelScript.PivotTable	addFilterHierarchy(pivotHierarchy)	Method	Adds the PivotHierarchy to the current axis.
ExcelScript.PivotTable	addRowHierarchy(pivotHierarchy)	Method	Adds the PivotHierarchy to the current axis.
ExcelScript.PivotTable	delete()	Method	Deletes the PivotTable.
ExcelScript.PivotTable	getAllowMultipleFiltersPerField()	Method	Specifies if the PivotTable allows the application of multiple PivotFilters on a given PivotField in the table.
ExcelScript.PivotTable	getColumnHierarchies()	Method	The Column Pivot Hierarchies of the PivotTable.
ExcelScript.PivotTable	getColumnHierarchy(name)	Method	Gets a RowColumnPivotHierarchy by name.
ExcelScript.PivotTable	getDataHierarchies()	Method	The Data Pivot Hierarchies of the PivotTable.
ExcelScript.PivotTable	getDataHierarchy(name)	Method	Gets a DataPivotHierarchy by name.
ExcelScript.PivotTable	getEnableDataValueEditing()	Method	Specifies if the PivotTable allows values in the data body to be edited by the user.
ExcelScript.PivotTable	getFilterHierarchies()	Method	The Filter Pivot Hierarchies of the PivotTable.
ExcelScript.PivotTable	getFilterHierarchy(name)	Method	Gets a FilterPivotHierarchy by name.
ExcelScript.PivotTable	getHierarchies()	Method	The Pivot Hierarchies of the PivotTable.
ExcelScript.PivotTable	getHierarchy(name)	Method	Gets a PivotHierarchy by name.
ExcelScript.PivotTable	getId()	Method	ID of the PivotTable.
ExcelScript.PivotTable	getLayout()	Method	The PivotLayout describing the layout and visual structure of the PivotTable.
ExcelScript.PivotTable	getName()	Method	Name of the PivotTable.
ExcelScript.PivotTable	getRowHierarchies()	Method	The Row Pivot Hierarchies of the PivotTable.
ExcelScript.PivotTable	getRowHierarchy(name)	Method	Gets a RowColumnPivotHierarchy by name.
ExcelScript.PivotTable	getUseCustomSortLists()	Method	Specifies if the PivotTable uses custom lists when sorting.
ExcelScript.PivotTable	getWorksheet()	Method	The worksheet containing the current PivotTable.
ExcelScript.PivotTable	refresh()	Method	Refreshes the PivotTable.
ExcelScript.PivotTable	removeColumnHierarchy(rowColumnPivotHierarchy)	Method	Removes the PivotHierarchy from the current axis.
ExcelScript.PivotTable	removeDataHierarchy(DataPivotHierarchy)	Method	Removes the PivotHierarchy from the current axis.
ExcelScript.PivotTable	removeFilterHierarchy(filterPivotHierarchy)	Method	Removes the PivotHierarchy from the current axis.
ExcelScript.PivotTable	removeRowHierarchy(rowColumnPivotHierarchy)	Method	Removes the PivotHierarchy from the current axis.
ExcelScript.PivotTable	setAllowMultipleFiltersPerField(allowMultipleFiltersPerField)	Method	Specifies if the PivotTable allows the application of multiple PivotFilters on a given PivotField in the table.
ExcelScript.PivotTable	setEnableDataValueEditing(enableDataValueEditing)	Method	Specifies if the PivotTable allows values in the data body to be edited by the user.
ExcelScript.PivotTable	setName(name)	Method	Name of the PivotTable.
ExcelScript.PivotTable	setUseCustomSortLists(useCustomSortLists)	Method	Specifies if the PivotTable uses custom lists when sorting.
ExcelScript.PivotTableStyle		Class	Represents a PivotTable style  which defines style elements by PivotTable region.
ExcelScript.PivotTableStyle	delete()	Method	Deletes the PivotTable style.
ExcelScript.PivotTableStyle	duplicate()	Method	Creates a duplicate of this PivotTable style with copies of all the style elements.
ExcelScript.PivotTableStyle	getName()	Method	Gets the name of the PivotTable style.
ExcelScript.PivotTableStyle	getReadOnly()	Method	Specifies if this `PivotTableStyle` object is read-only.
ExcelScript.PivotTableStyle	setName(name)	Method	Gets the name of the PivotTable style.
ExcelScript.PivotValueFilter		Class	Configurable template for a value filter to apply to a PivotField.
ExcelScript.PivotValueFilter	comparator	Property	The comparator is the static value to which other values are compared.
ExcelScript.PivotValueFilter	condition	Property	Specifies the condition for the filter  which defines the necessary filtering criteria.
ExcelScript.PivotValueFilter	exclusive	Property	If `true`<!-- -->  filter *excludes* items that meet criteria.
ExcelScript.PivotValueFilter	lowerBound	Property	The lower-bound of the range for the `between` filter condition.
ExcelScript.PivotValueFilter	selectionType	Property	Specifies if the filter is for the top/bottom N items  top/bottom N percent  or top/bottom N sum.
ExcelScript.PivotValueFilter	threshold	Property	"The ""N"" threshold number of items  percent  or sum to be filtered for a top/bottom filter condition."
ExcelScript.PivotValueFilter	upperBound	Property	The upper-bound of the range for the `between` filter condition.
ExcelScript.PivotValueFilter	value	Property	"Name of the chosen ""value"" in the field by which to filter."
ExcelScript.Placement		Class	Specifies the way that an object is attached to its underlying cells.
ExcelScript.Placement	absolute	EnumField	The object is free floating.
ExcelScript.Placement	oneCell	EnumField	The object is moved and sized with the cells.
ExcelScript.Placement	twoCell	EnumField	The object is moved with the cells.
ExcelScript.PredefinedCellStyle		Class	An object encapsulating a style's format and other properties.
ExcelScript.PredefinedCellStyle	delete()	Method	Deletes this style.
ExcelScript.PredefinedCellStyle	getAutoIndent()	Method	Specifies if text is automatically indented when the text alignment in a cell is set to equal distribution.
ExcelScript.PredefinedCellStyle	getBorders()	Method	A collection of four border objects that represent the style of the four borders.
ExcelScript.PredefinedCellStyle	getBuiltIn()	Method	Specifies if the style is a built-in style.
ExcelScript.PredefinedCellStyle	getFill()	Method	The fill of the style.
ExcelScript.PredefinedCellStyle	getFont()	Method	A `Font` object that represents the font of the style.
ExcelScript.PredefinedCellStyle	getFormulaHidden()	Method	Specifies if the formula will be hidden when the worksheet is protected.
ExcelScript.PredefinedCellStyle	getHorizontalAlignment()	Method	Represents the horizontal alignment for the style.
ExcelScript.PredefinedCellStyle	getIncludeAlignment()	Method	Specifies if the style includes the auto indent  horizontal alignment  vertical alignment  wrap text  indent level  and text orientation properties.
ExcelScript.PredefinedCellStyle	getIncludeBorder()	Method	Specifies if the style includes the color  color index  line style  and weight border properties.
ExcelScript.PredefinedCellStyle	getIncludeFont()	Method	Specifies if the style includes the background  bold  color  color index  font style  italic  name  size  strikethrough  subscript  superscript  and underline font properties.
ExcelScript.PredefinedCellStyle	getIncludeNumber()	Method	Specifies if the style includes the number format property.
ExcelScript.PredefinedCellStyle	getIncludePatterns()	Method	Specifies if the style includes the color  color index  invert if negative  pattern  pattern color  and pattern color index interior properties.
ExcelScript.PredefinedCellStyle	getIncludeProtection()	Method	Specifies if the style includes the formula hidden and locked protection properties.
ExcelScript.PredefinedCellStyle	getIndentLevel()	Method	An integer from 0 to 250 that indicates the indent level for the style.
ExcelScript.PredefinedCellStyle	getLocked()	Method	Specifies if the object is locked when the worksheet is protected.
ExcelScript.PredefinedCellStyle	getName()	Method	The name of the style.
ExcelScript.PredefinedCellStyle	getNumberFormat()	Method	The format code of the number format for the style.
ExcelScript.PredefinedCellStyle	getNumberFormatLocal()	Method	The localized format code of the number format for the style.
ExcelScript.PredefinedCellStyle	getRangeBorder(index)	Method	Gets a border object using its name.
ExcelScript.PredefinedCellStyle	getRangeBorderTintAndShade()	Method	Specifies a double that lightens or darkens a color for range borders.
ExcelScript.PredefinedCellStyle	getReadingOrder()	Method	The reading order for the style.
ExcelScript.PredefinedCellStyle	getShrinkToFit()	Method	Specifies if text automatically shrinks to fit in the available column width.
ExcelScript.PredefinedCellStyle	getTextOrientation()	Method	The text orientation for the style.
ExcelScript.PredefinedCellStyle	getVerticalAlignment()	Method	Specifies the vertical alignment for the style.
ExcelScript.PredefinedCellStyle	getWrapText()	Method	Specifies if Excel wraps the text in the object.
ExcelScript.PredefinedCellStyle	setAutoIndent(autoIndent)	Method	Specifies if text is automatically indented when the text alignment in a cell is set to equal distribution.
ExcelScript.PredefinedCellStyle	setFormulaHidden(formulaHidden)	Method	Specifies if the formula will be hidden when the worksheet is protected.
ExcelScript.PredefinedCellStyle	setHorizontalAlignment(horizontalAlignment)	Method	Represents the horizontal alignment for the style.
ExcelScript.PredefinedCellStyle	setIncludeAlignment(includeAlignment)	Method	Specifies if the style includes the auto indent  horizontal alignment  vertical alignment  wrap text  indent level  and text orientation properties.
ExcelScript.PredefinedCellStyle	setIncludeBorder(includeBorder)	Method	Specifies if the style includes the color  color index  line style  and weight border properties.
ExcelScript.PredefinedCellStyle	setIncludeFont(includeFont)	Method	Specifies if the style includes the background  bold  color  color index  font style  italic  name  size  strikethrough  subscript  superscript  and underline font properties.
